1690731241347,0.37626648,0.14421082,0.042053223
1690731241347,0.37626648,0.14421082,0.042053223
1690731241347,0.37626648,0.14421082,0.042053223
1690731241350,0.03479004,-0.20335388,-0.19068909
1690731241356,0.018295288,-0.19908142,-0.1980133
1690731241356,-0.0018463135,-0.19358826,-0.2090149
1690731241356,-0.02079773,-0.18930054,-0.21572876
1690731241366,-0.04034424,-0.18502808,-0.22428894
1690731241366,-0.05744934,-0.18258667,-0.23283386
1690731241366,-0.07394409,-0.18136597,-0.23710632
1690731241366,-0.08798218,-0.17892456,-0.2432251
1690731241369,-0.10203552,-0.17648315,-0.25360107
1690731241371,-0.114868164,-0.17953491,-0.25787354
1690731241375,-0.1270752,-0.18380737,-0.2639923
1690731241377,-0.13624573,-0.18869019,-0.26826477
1690731241383,-0.14480591,-0.19602966,-0.27438354
1690731241383,-0.15274048,-0.20457458,-0.28170776
1690731241384,-0.1570282,-0.21191406,-0.28720093
1690731241386,-0.1612854,-0.22229004,-0.29086304
1690731241389,-0.16557312,-0.23329163,-0.29452515
1690731241393,-0.16679382,-0.2412262,-0.30003357
1690731241394,-0.16618347,-0.2534485,-0.30369568
1690731241397,-0.16923523,-0.26628113,-0.30981445
1690731241399,-0.17106628,-0.2790985,-0.31347656
1690731241402,-0.17228699,-0.2937622,-0.31713867
1690731241403,-0.17533875,-0.3072052,-0.3232422
1690731241406,-0.1765747,-0.3206482,-0.32936096
1690731241409,-0.1759491,-0.3365326,-0.33241272
1690731241413,-0.17779541,-0.34568787,-0.33485413
1690731241415,-0.1796112,-0.35424805,-0.33668518
1690731241416,-0.17901611,-0.36157227,-0.33973694
1690731241418,-0.1747284,-0.36645508,-0.3403473
1690731241421,-0.17045593,-0.3695221,-0.3403473
1690731241423,-0.16618347,-0.3695221,-0.3391266
1690731241426,-0.1594696,-0.36706543,-0.33851624
1690731241428,-0.15274048,-0.36584473,-0.33668518
1690731241431,-0.14602661,-0.35913086,-0.33424377
1690731241434,-0.13807678,-0.35424805,-0.33241272
1690731241436,-0.13014221,-0.34873962,-0.32936096
1690731241438,-0.12159729,-0.34324646,-0.3244629
1690731241440,-0.115478516,-0.33958435,-0.32080078
1690731241443,-0.10630798,-0.3377533,-0.31774902
1690731241446,-0.098983765,-0.33958435,-0.31469727
1690731241448,-0.08982849,-0.34080505,-0.31163025
1690731241450,-0.08187866,-0.3450775,-0.30859375
1690731241453,-0.071502686,-0.34629822,-0.30613708
1690731241455,-0.06599426,-0.34873962,-0.30613708
