1690728787630,-0.10508728,-0.007873535,0.22348022
1690728787630,-0.10508728,-0.007873535,0.22348022
1690728787630,-0.10508728,-0.007873535,0.22348022
1690728787631,-0.10508728,-0.007873535,0.22348022
1690728787637,-0.1594696,0.19247437,-0.45274353
1690728787637,-0.15640259,0.19493103,-0.5046692
1690728787640,-0.15213013,0.19796753,-0.5535431
1690728787640,-0.14785767,0.2028656,-0.60058594
1690728787648,-0.14051819,0.20652771,-0.6439514
1690728787648,-0.13502502,0.20591736,-0.680603
1690728787648,-0.13075256,0.20103455,-0.7111511
1690728787657,-0.123413086,0.19247437,-0.7398529
1690728787657,-0.119140625,0.17782593,-0.7612457
1690728787657,-0.11608887,0.16009521,-0.77957153
1690728787658,-0.1124115,0.1381073,-0.7948303
1690728787661,-0.111190796,0.11367798,-0.8033905
1690728787662,-0.11364746,0.084350586,-0.80888367
1690728787665,-0.11975098,0.051971436,-0.8082733
1690728787667,-0.1277008,0.021438599,-0.8009491
1690728787670,-0.13929749,-0.01399231,-0.79299927
1690728787672,-0.15213013,-0.044525146,-0.78079224
1690728787674,-0.16679382,-0.076293945,-0.76490784
1690728787678,-0.18389893,-0.108062744,-0.75146484
1690728787680,-0.20039368,-0.14105225,-0.73069763
1690728787683,-0.21688843,-0.17404175,-0.7068634
1690728787685,-0.23460388,-0.2088623,-0.678772
1690728787688,-0.25230408,-0.24307251,-0.6427307
1690728787689,-0.2736969,-0.28399658,-0.60546875
1690728787692,-0.29751587,-0.325531,-0.56759644
1690728787694,-0.3250122,-0.3719635,-0.5285034
1690728787697,-0.3585968,-0.41838074,-0.49124146
1690728787699,-0.39648438,-0.47091675,-0.4613037
1690728787702,-0.4367981,-0.5332184,-0.43197632
1690728787704,-0.47955322,-0.5869751,-0.4063263
1690728787707,-0.52049255,-0.6279144,-0.37760925
1690728787710,-0.55714417,-0.66334534,-0.35195923
1690728787713,-0.5950165,-0.69021606,-0.32629395
1690728787714,-0.6286011,-0.7109833,-0.30308533
1690728787717,-0.6615906,-0.7280884,-0.28170776
1690728787719,-0.692749,-0.7458191,-0.26094055
1690728787722,-0.72084045,-0.7507019,-0.23954773
1690728787724,-0.743454,-0.7464142,-0.21939087
1690728787726,-0.76361084,-0.7384796,-0.20350647
1690728787729,-0.77705383,-0.7250519,-0.19190979
1690728787731,-0.7849884,-0.7091675,-0.18395996
1690728787734,-0.78804016,-0.6920624,-0.1796875
1690728787736,-0.7862091,-0.67433167,-0.1784668
1690728787739,-0.7813263,-0.6529541,-0.1796875
