1690731241402,1011.6177
1690731241422,1012.1636
1690731241461,1012.3425
1690731241501,1012.45465
1690731241522,1012.5208
1690731241562,1012.5709
1690731241602,1012.58795
1690731241621,1012.6147
1690731241661,1012.628
1690731241702,1012.64307
1690731241721,1012.65424
1690731241762,1012.65967
1690731241804,1012.6616
1690731241823,1012.6508
1690731241866,1012.6522
1690731241904,1012.65265
1690731241922,1012.66235
1690731241966,1012.6712
1690731242002,1012.6713
1690731242022,1012.66174
1690731242063,1012.6637
1690731242102,1012.66455
1690731242126,1012.6675
1690731242164,1012.66895
1690731242204,1012.66846
1690731242222,1012.6657
1690731242265,1012.6677
1690731242302,1012.662
1690731242323,1012.66785
1690731242363,1012.67645
1690731242404,1012.6719
1690731242421,1012.6668
1690731242462,1012.6722
1690731242509,1012.6677
1690731242523,1012.67615
1690731242562,1012.66113
1690731242603,1012.6659
1690731242625,1012.67017
1690731242663,1012.6692
1690731242703,1012.67084
1690731242735,1012.67773
1690731242762,1012.6738
1690731242801,1012.6764
1690731242821,1012.6792
1690731242861,1012.6797
1690731242904,1012.679
1690731242923,1012.6715
1690731242962,1012.67456
1690731243006,1012.67285
1690731243022,1012.664
1690731243063,1012.66986
1690731243104,1012.67804
1690731243122,1012.6683
1690731243162,1012.6494
1690731243202,1012.6542
1690731243223,1012.6604
1690731243264,1012.6559
1690731243302,1012.6559
1690731243321,1012.65533
1690731243364,1012.65796
1690731243408,1012.66
1690731243425,1012.6548
1690731243462,1012.6627
1690731243505,1012.66943
1690731243521,1012.66797
1690731243562,1012.67413
1690731243601,1012.669
1690731243621,1012.67535
1690731243661,1012.66846
1690731243702,1012.664
1690731243722,1012.6632
1690731243761,1012.6588
1690731243801,1012.6608
1690731243822,1012.6624
1690731243862,1012.66327
1690731243902,1012.6692
1690731243926,1012.6647
1690731243960,1012.6702
1690731244000,1012.6763
1690731244021,1012.6744
1690731244061,1012.67645
1690731244101,1012.6749
1690731244121,1012.6771
1690731244160,1012.6721
1690731244200,1012.673
1690731244220,1012.66376
1690731244261,1012.6611
1690731244301,1012.6605
1690731244322,1012.66376
1690731244361,1012.66595
1690731244402,1012.6617
1690731244421,1012.6655
1690731244462,1012.6687
1690731244509,1012.66724
1690731244523,1012.66724
1690731244562,1012.6676
1690731244604,1012.65955
1690731244625,1012.65845
1690731244662,1012.66266
1690731244700,1012.6587
1690731244721,1012.6588
1690731244761,1012.6554
1690731244800,1012.65356
1690731244823,1012.6613
1690731244862,1012.66864
1690731244901,1012.6769
1690731244920,1012.6728
1690731244961,1012.6768
1690731245005,1012.6797
1690731245022,1012.682
1690731245061,1012.6754
1690731245102,1012.67236
1690731245122,1012.6685
1690731245162,1012.6659
1690731245202,1012.6618
1690731245220,1012.66504
1690731245260,1012.6629
1690731245300,1012.66174
1690731245322,1012.6571
1690731245362,1012.65515
1690731245401,1012.66364
1690731245420,1012.6743
1690731245461,1012.67206
1690731245501,1012.6686
1690731245520,1012.6734
1690731245561,1012.66455
1690731245601,1012.66364
1690731245621,1012.6682
1690731245661,1012.66235
1690731245702,1012.66174
1690731245720,1012.66833
1690731245761,1012.6697
1690731245802,1012.6748
1690731245821,1012.66595
1690731245862,1012.6718
1690731245901,1012.6759
1690731245923,1012.6741
1690731245960,1012.67065
1690731246000,1012.6649
1690731246022,1012.6638
1690731246060,1012.6615
1690731246100,1012.6636
1690731246122,1012.6672
1690731246160,1012.6758
1690731246202,1012.68085
1690731246220,1012.68274
1690731246261,1012.6746
1690731246300,1012.67145
1690731246321,1012.67267
1690731246362,1012.6707
1690731246403,1012.6771
1690731246419,1012.67444
1690731246460,1012.67053
1690731246503,1012.6696
1690731246519,1012.67236
1690731246560,1012.6658
1690731246602,1012.6612
1690731246620,1012.66504
1690731246660,1012.66327
1690731246701,1012.6641
1690731246719,1012.6649
1690731246761,1012.65717
1690731246800,1012.6666
1690731246819,1012.6657
1690731246866,1012.66364
1690731246903,1012.6626
1690731246922,1012.6675
1690731246959,1012.6671
1690731247001,1012.66174
1690731247024,1012.66595
1690731247061,1012.6648
1690731247100,1012.6692
1690731247119,1012.66486
1690731247160,1012.6677
1690731247201,1012.6601
1690731247220,1012.65814
1690731247260,1012.66125
1690731247300,1012.6683
1690731247321,1012.66846
1690731247362,1012.67285
1690731247399,1012.67426
1690731247419,1012.67426
1690731247458,1012.6736
1690731247502,1012.6758
1690731247524,1012.6678
1690731247559,1012.6662
1690731247599,1012.6691
1690731247619,1012.6662
1690731247659,1012.6655
1690731247699,1012.6671
1690731247719,1012.66925
1690731247759,1012.67633
1690731247799,1012.67285
1690731247818,1012.6685
1690731247860,1012.6698
1690731247901,1012.67413
1690731247920,1012.66425
1690731247958,1012.6602
1690731247998,1012.66003
1690731248019,1012.6605
1690731248059,1012.66284
1690731248100,1012.66205
1690731248121,1012.6662
1690731248160,1012.6672
1690731248198,1012.6604
1690731248222,1012.66077
1690731248266,1012.66235
1690731248299,1012.656
1690731248320,1012.65485
1690731248359,1012.65906
1690731248399,1012.6603
1690731248422,1012.6692
1690731248458,1012.67255
1690731248498,1012.67163
1690731248521,1012.67004
1690731248559,1012.6698
1690731248599,1012.6672
1690731248619,1012.66345
1690731248659,1012.6621
1690731248698,1012.6624
1690731248719,1012.66315
1690731248759,1012.6553
1690731248799,1012.65344
1690731248818,1012.66254
1690731248858,1012.66656
1690731248900,1012.66626
1690731248918,1012.65717
1690731248959,1012.65424
1690731249004,1012.6587
1690731249018,1012.65967
1690731249059,1012.65955
1690731249100,1012.65607
1690731249120,1012.6621
1690731249158,1012.66064
1690731249200,1012.6583
1690731249219,1012.6553
1690731249259,1012.66064
1690731249300,1012.67126
1690731249320,1012.66345
1690731249359,1012.6698
1690731249399,1012.6742
1690731249419,1012.6651
1690731249458,1012.6737
1690731249500,1012.6808
1690731249519,1012.6725
1690731249558,1012.67236
1690731249598,1012.6651
1690731249620,1012.66077
1690731249660,1012.65686
1690731249698,1012.6583
1690731249719,1012.6635
1690731249761,1012.672
1690731249798,1012.66644
1690731249818,1012.66473
1690731249866,1012.6616
1690731249898,1012.66376
1690731249919,1012.661
1690731249958,1012.66504
1690731249999,1012.66907
1690731250018,1012.66516
1690731250059,1012.66455
1690731250100,1012.67114
1690731250119,1012.6726
1690731250157,1012.67053
1690731250199,1012.6674
1690731250218,1012.6638
1690731250279,1012.67316
1690731250298,1012.67035
1690731250318,1012.66815
1690731250357,1012.66327
1690731250398,1012.66205
1690731250417,1012.6571
1690731250457,1012.6574
1690731250499,1012.65173
1690731250518,1012.6595
1690731250558,1012.6689
1690731250598,1012.67645
1690731250618,1012.67413
1690731250659,1012.6657
1690731250700,1012.66455
1690731250717,1012.6632
1690731250758,1012.6661
1690731250798,1012.6716
